team_code,team_name,group,confederation,fifa_rank,seed_rating
MEX,Mexico,A,CONCACAF,14,1760
RSA,South Africa,A,CAF,58,1580
KOR,South Korea,A,AFC,23,1715
CZE,Czech Republic,A,UEFA,32,1685
